date,temperature
7/29/18,75.92
7/30/18,78.44
7/31/18,78.98
8/1/18,79.88
8/2/18,78.08
8/3/18,77.72
8/4/18,76.28
8/5/18,76.64
8/6/18,77.72
8/7/18,78.62
8/8/18,80.78
8/9/18,82.04
8/10/18,80.96
8/11/18,81.32
8/12/18,77.36
8/13/18,75.56
8/14/18,74.48
8/15/18,74.84
8/16/18,75.02
8/17/18,75.74
8/18/18,75.56
8/19/18,75.56
8/20/18,75.74
8/21/18,74.84
8/22/18,75.56
8/23/18,75.02
8/24/18,73.4
8/25/18,72.86
8/26/18,73.58
8/27/18,71.96
8/28/18,71.96
8/29/18,74.66
8/30/18,74.84
8/31/18,72.86
9/1/18,72.86
9/2/18,70.88
9/3/18,71.96
9/4/18,72.5
9/5/18,72.14
9/6/18,70.34
9/7/18,71.24
9/8/18,71.78
9/9/18,71.42
9/10/18,71.42
9/11/18,70.88
9/12/18,71.24
9/13/18,72.68
9/14/18,74.66
9/15/18,74.12
9/16/18,73.04
9/17/18,72.86
9/18/18,70.34
9/19/18,68.72
9/20/18,68.54
9/21/18,69.08
9/22/18,71.42
9/23/18,70.52
9/24/18,68.72
9/25/18,66.38
9/26/18,67.46
9/27/18,70.34
9/28/18,68.18
9/29/18,69.26
9/30/18,69.98
10/1/18,75.74
10/2/18,75.02
10/3/18,71.06
10/4/18,70.88
10/5/18,69.26
10/6/18,67.46
10/7/18,68.18
10/8/18,68.18
10/9/18,68.72
10/10/18,66.92
10/11/18,67.82
10/12/18,68.36
10/13/18,65.84
10/14/18,64.76
10/15/18,68.72
10/16/18,68
10/17/18,68.36
10/18/18,69.98
10/19/18,73.04
10/20/18,75.02
10/21/18,70.52
10/22/18,68.18
10/23/18,67.64
10/24/18,67.64
10/25/18,68.54
10/26/18,69.98
10/27/18,68.54
10/28/18,65.12
10/29/18,65.48
10/30/18,66.74
10/31/18,67.28
11/1/18,68.18
11/2/18,70.88
11/3/18,70.34
11/4/18,69.26
11/5/18,66.02
11/6/18,67.28
11/7/18,66.02
11/8/18,65.84
11/9/18,68.54
11/10/18,65.66
11/11/18,61.52
11/12/18,64.22
11/13/18,65.12
11/14/18,68.18
11/15/18,65.84
11/16/18,64.22
11/17/18,62.42
11/18/18,62.96
11/19/18,62.24
11/20/18,61.88
11/21/18,61.52
11/22/18,63.32
11/23/18,61.88
11/24/18,62.42
11/25/18,64.04
11/26/18,65.12
11/27/18,63.68
11/28/18,61.34
11/29/18,62.78
11/30/18,60.62
12/1/18,58.28
12/2/18,59.72
12/3/18,57.02
12/4/18,59
12/5/18,56.84
12/6/18,55.22
12/7/18,58.46
12/8/18,59.72
12/9/18,60.26
12/10/18,59.72
12/11/18,59.36
12/12/18,57.56
12/13/18,59.54
12/14/18,60.26
12/15/18,60.08
12/16/18,57.02
12/17/18,59.54
12/18/18,60.08
12/19/18,59.18
12/20/18,59.54
12/21/18,59.9
12/22/18,58.46
12/23/18,57.56
12/24/18,59.36
12/25/18,61.34
12/26/18,56.66
12/27/18,55.76
12/28/18,54.5
12/29/18,51.62
12/30/18,51.98
12/31/18,54.86
1/1/19,55.04
1/2/19,50.9
1/3/19,52.52
1/4/19,52.88
1/5/19,54.14
1/6/19,54.32
1/7/19,55.76
1/8/19,58.28
1/9/19,57.74
1/10/19,56.66
1/11/19,57.02
1/12/19,55.94
1/13/19,53.6
1/14/19,55.04
1/15/19,54.86
1/16/19,56.48
1/17/19,61.52
1/18/19,59.18
1/19/19,60.8
1/20/19,62.96
1/21/19,60.08
1/22/19,55.94
1/23/19,55.94
1/24/19,58.28
1/25/19,62.06
1/26/19,62.78
1/27/19,61.52
1/28/19,59.72
1/29/19,61.16
1/30/19,59.36
1/31/19,57.92
2/1/19,55.58
2/2/19,57.92
2/3/19,54.5
2/4/19,56.12
2/5/19,54.14
2/6/19,50.36
2/7/19,50.54
2/8/19,51.8
2/9/19,52.52
2/10/19,52.34
2/11/19,49.46
2/12/19,52.16
2/13/19,55.76
2/14/19,57.38
2/15/19,55.76
2/16/19,54.86
2/17/19,53.24
2/18/19,50.72
2/19/19,49.28
2/20/19,49.64
2/21/19,51.44
2/22/19,47.66
2/23/19,51.8
2/24/19,54.32
2/25/19,55.4
2/26/19,55.04
2/27/19,57.56
2/28/19,60.44
3/1/19,60.26
3/2/19,58.82
3/3/19,59.72
3/4/19,58.1
3/5/19,56.12
3/6/19,58.64
3/7/19,58.28
3/8/19,55.76
3/9/19,54.32
3/10/19,54.14
3/11/19,55.76
3/12/19,60.26
3/13/19,57.38
3/14/19,58.82
3/15/19,61.88
3/16/19,65.12
3/17/19,68.36
3/18/19,65.12
3/19/19,58.28
3/20/19,60.98
3/21/19,57.38
3/22/19,56.66
3/23/19,59.36
3/24/19,60.98
3/25/19,61.52
3/26/19,60.44
3/27/19,61.52
3/28/19,62.6
3/29/19,60.8
3/30/19,63.86
3/31/19,67.28
4/1/19,69.98
4/2/19,65.3
4/3/19,62.06
4/4/19,60.98
4/5/19,61.52
4/6/19,62.78
4/7/19,64.22
4/8/19,69.98
4/9/19,68.54
4/10/19,68.18
4/11/19,63.32
4/12/19,62.42
4/13/19,64.22
4/14/19,64.4
4/15/19,59.54
4/16/19,60.08
4/17/19,61.88
4/18/19,66.38
4/19/19,64.4
4/20/19,60.62
4/21/19,61.16
4/22/19,61.88
4/23/19,63.32
4/24/19,64.22
4/25/19,63.32
4/26/19,62.96
4/27/19,61.88
4/28/19,62.24
4/29/19,61.88
4/30/19,62.06
5/1/19,61.88
5/2/19,63.14
5/3/19,63.14
5/4/19,63.86
5/5/19,63.32
5/6/19,63.14
5/7/19,63.14
5/8/19,62.78
5/9/19,63.14
5/10/19,62.78
5/11/19,64.94
5/12/19,65.48
5/13/19,64.4
5/14/19,65.48
5/15/19,64.22
5/16/19,63.68
5/17/19,62.42
5/18/19,62.42
5/19/19,59.54
5/20/19,62.42
5/21/19,62.6
5/22/19,62.06
5/23/19,60.98
5/24/19,62.6
5/25/19,62.96
5/26/19,60.98
5/27/19,59
5/28/19,61.52
5/29/19,64.76
5/30/19,64.94
5/31/19,62.96
6/1/19,62.42
6/2/19,62.78
6/3/19,64.22
6/4/19,63.32
6/5/19,63.68
6/6/19,64.76
6/7/19,64.22
6/8/19,64.94
6/9/19,66.92
6/10/19,72.5
6/11/19,72.14
6/12/19,71.24
6/13/19,66.38
6/14/19,64.94
6/15/19,66.02
6/16/19,66.92
6/17/19,65.84
6/18/19,64.94
6/19/19,68.18
6/20/19,67.28
6/21/19,66.2
6/22/19,67.64
6/23/19,68.18
6/24/19,66.2
6/25/19,65.84
6/26/19,66.92
6/27/19,68.36
6/28/19,69.08
6/29/19,70.34
6/30/19,73.58
7/1/19,71.96
7/2/19,70.88
7/3/19,70.34
7/4/19,69.62
7/5/19,68.72
7/6/19,68.72
7/7/19,66.56
7/8/19,67.64
7/9/19,70.34
7/10/19,69.62
7/11/19,70.34
7/12/19,71.24
7/13/19,70.16
7/14/19,70.52
7/15/19,71.06
7/16/19,71.78
7/17/19,70.34
7/18/19,71.06
7/19/19,70.34
7/20/19,71.96
7/21/19,71.96
7/22/19,71.78
7/23/19,78.98
7/24/19,82.22
7/25/19,79.88
7/26/19,79.7
7/27/19,78.98
7/28/19,75.38
7/29/19,72.32
7/30/19,73.04
7/31/19,72.86
8/1/19,73.76
8/2/19,73.76
8/3/19,75.2
8/4/19,74.84
8/5/19,74.12
8/6/19,75.2
8/7/19,72.32
8/8/19,71.24
8/9/19,71.06
8/10/19,71.6
8/11/19,72.14
8/12/19,70.34
8/13/19,72.68
8/14/19,71.96
8/15/19,71.96
8/16/19,69.62
8/17/19,70.16
8/18/19,71.42
8/19/19,72.14
8/20/19,72.68
8/21/19,74.66
8/22/19,73.94
8/23/19,71.24
8/24/19,75.02
8/25/19,77.18
8/26/19,78.8
8/27/19,76.1
8/28/19,74.48
8/29/19,75.92
8/30/19,78.08
8/31/19,76.82
9/1/19,74.3
9/2/19,76.28
9/3/19,80.78
9/4/19,82.22
9/5/19,81.32
9/6/19,80.96
9/7/19,78.62
9/8/19,73.22
9/9/19,73.04
9/10/19,72.14
9/11/19,72.14
9/12/19,74.48
9/13/19,77.54
9/14/19,78.08
9/15/19,76.46
9/16/19,73.22
9/17/19,73.04
9/18/19,72.14
9/19/19,71.96
9/20/19,71.96
9/21/19,73.22
9/22/19,75.92
9/23/19,73.22
9/24/19,72.86
9/25/19,74.12
9/26/19,72.68
9/27/19,72.68
9/28/19,70.52
9/29/19,68.18
9/30/19,66.2
10/1/19,66.2
10/2/19,68.18
10/3/19,68.18
10/4/19,66.74
10/5/19,69.26
10/6/19,70.88
10/7/19,71.78
10/8/19,68.9
10/9/19,67.64
10/10/19,69.26
10/11/19,73.94
10/12/19,72.32
10/13/19,66.92
10/14/19,66.56
10/15/19,68.18
10/16/19,70.88
10/17/19,69.08
10/18/19,68.54
10/19/19,67.46
10/20/19,69.62
10/21/19,76.82
10/22/19,77.72
10/23/19,74.84
10/24/19,76.64
10/25/19,83.12
10/26/19,73.94
10/27/19,68.18
10/28/19,65.66
10/29/19,63.32
10/30/19,64.22
10/31/19,64.76
11/1/19,66.02
11/2/19,64.58
11/3/19,63.32
11/4/19,64.76
11/5/19,63.5
11/6/19,61.52
11/7/19,63.14
11/8/19,65.66
11/9/19,69.62
11/10/19,64.58
11/11/19,63.14
11/12/19,62.78
11/13/19,61.52
11/14/19,60.8
11/15/19,60.98
11/16/19,60.98
11/17/19,67.46
11/18/19,72.14
11/19/19,68.18
11/20/19,60.26
11/21/19,56.12
11/22/19,58.64
11/23/19,62.24
11/24/19,62.42
11/25/19,57.74
11/26/19,58.28
11/27/19,56.48
11/28/19,50.54
11/29/19,47.48
11/30/19,50.36
12/1/19,54.86
12/2/19,56.66
12/3/19,57.2
12/4/19,58.64
12/5/19,57.02
12/6/19,58.64
12/7/19,61.16
12/8/19,61.52
12/9/19,57.38
12/10/19,56.84
12/11/19,55.94
12/12/19,57.92
12/13/19,57.38
12/14/19,59.54
12/15/19,57.02
12/16/19,54.68
12/17/19,58.64
12/18/19,53.24
12/19/19,51.98
12/20/19,56.66
12/21/19,58.82
12/22/19,56.84
12/23/19,54.86
12/24/19,51.44
12/25/19,53.24
12/26/19,50.72
12/27/19,49.1
12/28/19,50.9
12/29/19,51.26
12/30/19,54.68
12/31/19,58.46
